V_ERAMS_MATRIX_SAMPLE_ANALYSIS.MAT_ID,V_ERAMS_MATRIX_SAMPLE_ANALYSIS.SAMP_ID,V_ERAMS_MATRIX_SAMPLE_ANALYSIS.ANA_SIZE,V_ERAMS_MATRIX_SAMPLE_ANALYSIS.ANA_UNIT,V_ERAMS_MATRIX_SAMPLE_ANALYSIS.ANA_PROC_NUM,V_ERAMS_MATRIX_SAMPLE_ANALYSIS.DURATION,V_ERAMS_LOCATION.LOC_NUM,V_ERAMS_LOCATION.CITY_NAME,V_ERAMS_LOCATION.STATE_ABBR,V_ERAMS_RESULTS_ANALYTE.ANALYTE_ID,V_ERAMS_RESULTS_ANALYTE.RESULT_AMOUNT,V_ERAMS_RESULTS_ANALYTE.CSU,V_ERAMS_RESULTS_ANALYTE.MDC,V_ERAMS_RESULTS_ANALYTE.RESULT_UNIT,V_ERAMS_RESULTS_ANALYTE.RESULT_DATE,V_ERAMS_RESULTS_ANALYTE.ANA_TYPE,V_ERAMS_RESULTS_ANALYTE.HALF_LIFE,V_ERAMS_RESULTS_ANALYTE.HALF_LIFE_TIME_UNIT,V_ERAMS_RESULTS_ANALYTE.ANALYTE_NAME
DRINKING WATER,A400316,.01,L,122,100,1,MONTGOMERY,AL,H3,53,38,130,PCI/L,2004-01-20,R,12.312,Y,Tritium
DRINKING WATER,A403298,.01,L,122,100,58,BISMARCK,ND,H3,-61.68,38,140,PCI/L,2004-07-06,R,12.312,Y,Tritium
DRINKING WATER,A303908,.01,L,122,100,2748,OAK RIDGE,TN,H3,-7.3256,35,120,PCI/L,2003-08-01,R,12.312,Y,Tritium
DRINKING WATER,A403324,.01,L,122,100,2748,OAK RIDGE,TN,H3,133,45,140,PCI/L,2004-07-07,R,12.312,Y,Tritium
DRINKING WATER,A403331,.01,L,122,100,51,LITTLE ROCK,AR,H3,28,40,140,PCI/L,2004-07-09,R,12.312,Y,Tritium
DRINKING WATER,A403331,2,L,124,1000,51,LITTLE ROCK,AR,I131,.071,.066,.22,PCI/L,2004-07-09,R,8.0233,D,Iodine-131
DRINKING WATER,A305197,.01,L,122,100,80,DENVER,CO,H3,61,38,130,PCI/L,2003-10-23,R,12.312,Y,Tritium
DRINKING WATER,A405965,.01,L,122,100,188,LAWRENCE,MA,H3,107,42,130,PCI/L,2004-12-03,R,12.312,Y,Tritium
DRINKING WATER,A501575,3,L,118,300,101,CHARLOTTE,NC,TL208,1.91,.88,,PCI/L,2004-07-01,R,3.053,M,Thallium-208
DRINKING WATER,A403578,.01,L,122,100,80,DENVER,CO,H3,18,36,120,PCI/L,2004-07-21,R,12.312,Y,Tritium
DRINKING WATER,A503620,.01,L,122,100,7,MIAMI,FL,H3,26,40,140,PCI/L,2005-07-20,R,12.312,Y,Tritium
