V_ERAMS_MATRIX_SAMPLE_ANALYSIS.MAT_ID,V_ERAMS_MATRIX_SAMPLE_ANALYSIS.SAMP_ID,V_ERAMS_MATRIX_SAMPLE_ANALYSIS.ANA_SIZE,V_ERAMS_MATRIX_SAMPLE_ANALYSIS.ANA_UNIT,V_ERAMS_MATRIX_SAMPLE_ANALYSIS.ANA_PROC_NUM,V_ERAMS_MATRIX_SAMPLE_ANALYSIS.DURATION,V_ERAMS_LOCATION.LOC_NUM,V_ERAMS_LOCATION.CITY_NAME,V_ERAMS_LOCATION.STATE_ABBR,V_ERAMS_RESULTS_ANALYTE.ANALYTE_ID,V_ERAMS_RESULTS_ANALYTE.RESULT_AMOUNT,V_ERAMS_RESULTS_ANALYTE.CSU,V_ERAMS_RESULTS_ANALYTE.MDC,V_ERAMS_RESULTS_ANALYTE.RESULT_UNIT,V_ERAMS_RESULTS_ANALYTE.RESULT_DATE,V_ERAMS_RESULTS_ANALYTE.ANA_TYPE,V_ERAMS_RESULTS_ANALYTE.HALF_LIFE,V_ERAMS_RESULTS_ANALYTE.HALF_LIFE_TIME_UNIT,V_ERAMS_RESULTS_ANALYTE.ANALYTE_NAME
DRINKING WATER,9302679,10,ML,10,100,149,SANTA FE,NM,H3,100,100,,PCI/L,1993-03-31,R,12.312,Y,Tritium
DRINKING WATER,9301792,10,ML,10,100,96,OKLAHOMA CITY,OK,H3,100,100,,PCI/L,1993-03-04,R,12.312,Y,Tritium
DRINKING WATER,9305013,10,ML,10,100,182,MUSCLE SHOALS,AL,H3,100,100,,PCI/L,1993-07-07,R,12.312,Y,Tritium
DRINKING WATER,9305078,10,ML,10,100,23,WASHINGTON,DC,H3,100,100,,PCI/L,1993-07-02,R,12.312,Y,Tritium
DRINKING WATER,9305079,10,ML,10,100,100,JACKSON,MS,H3,100,100,,PCI/L,1993-07-08,R,12.312,Y,Tritium
DRINKING WATER,9302742,10,ML,10,100,110,PORTLAND,OR,H3,100,100,,PCI/L,1993-04-02,R,12.312,Y,Tritium
DRINKING WATER,9300063,2,L,11,1000,97,BALTIMORE,MD,I131,-.02043,.082,.28,PCI/L,1993-01-04,R,8.0233,D,Iodine-131
DRINKING WATER,9302172,2,L,11,1000,24,HARTFORD,CT,I131,-.2159,.24,.8,PCI/L,1993-03-24,R,8.0233,D,Iodine-131
DRINKING WATER,9302854,10,ML,10,100,80,DENVER,CO,H3,100,100,,PCI/L,1993-04-06,R,12.312,Y,Tritium
DRINKING WATER,9302858,10,ML,10,100,75,HONOLULU,HI,H3,100,100,,PCI/L,1993-04-02,R,12.312,Y,Tritium
DRINKING WATER,9300068,10,ML,10,100,334,MINNEAPOLIS,MN,H3,200,100,,PCI/L,1993-01-04,R,12.312,Y,Tritium
DRINKING WATER,9300068,2,L,11,1000,334,MINNEAPOLIS,MN,I131,-.2283,.096,.33,PCI/L,1993-01-04,R,8.0233,D,Iodine-131
DRINKING WATER,9300099,10,ML,10,100,43,LAS VEGAS,NV,H3,100,100,,PCI/L,1993-01-04,R,12.312,Y,Tritium
DRINKING WATER,9302357,10,ML,10,100,140,MORRIS,IL,H3,200,100,,PCI/L,1993-03-23,R,12.312,Y,Tritium
DRINKING WATER,9305418,10,ML,10,100,39,IDAHO FALLS,ID,H3,200,50,,PCI/L,1993-07-22,R,12.312,Y,Tritium
DRINKING WATER,9305418,2,L,11,1000,39,IDAHO FALLS,ID,I131,.26,.15,.5,PCI/L,1993-07-22,R,8.0233,D,Iodine-131
DRINKING WATER,9305426,10,ML,10,100,49,PITTSBURGH,PA,H3,100,50,,PCI/L,1993-07-23,R,12.312,Y,Tritium
DRINKING WATER,9304905,10,ML,10,100,186,BOISE,ID,H3,100,100,,PCI/L,1993-07-01,R,12.312,Y,Tritium
DRINKING WATER,9304907,10,ML,10,100,145,COLUMBIA,SC,H3,100,100,,PCI/L,1993-07-01,R,12.312,Y,Tritium
DRINKING WATER,9209349,2,L,11,1000,49,PITTSBURGH,PA,I131,-.1,.085,,PCI/L,1992-11-25,R,8.0233,D,Iodine-131
DRINKING WATER,9308802,.4,L,3,100,41,DETROIT,MI,ALPHA,.01,.18,.81,PCI/L,1994-01-10,R,,,Gross Alpha
DRINKING WATER,9308803,.4,L,6,100,76,GRAND RAPIDS,MI,BETA,1.75,.35,.97,PCI/L,1994-01-10,R,,,Gross Beta
DRINKING WATER,9308806,.35,L,6,100,47,JEFFERSON CITY,MO,BETA,5.65,.57,1.2,PCI/L,1994-01-11,R,,,Gross Beta
DRINKING WATER,9308807,1,L,22,1000,100,JACKSON,MS,U235,.0084,.0058,.016,PCI/L,1994-02-23,R,703800000,Y,Uranium-235
DRINKING WATER,9308808,1,L,9,1000,261,PORT GIBSON,MS,RA228,,,19,PCI/L,1993-07-01,R,5.75,Y,Radium-228
DRINKING WATER,9308809,.3,L,3,100,118,HELENA,MT,ALPHA,.03,.24,1,PCI/L,1994-01-11,R,,,Gross Alpha
